course_code,course_title,num_ratings,useful,easy,liked,num_reviews,reviews,course_rating,course_rating_int,course_code_Sentiment,course_title_Sentiment,useful_Sentiment,easy_Sentiment,liked_Sentiment,reviews_Sentiment,course_rating_Sentiment
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"This course is taught in an archaic language that no one uses and no one understands. Instructors' explanations are irrelevant to actual questions and I got yelled during office hrs even though I stated that I need a little patience (I am disabled). Assignments and quizzes are unreasonably hard. I took to take this for bioinformatics option and decided to change my future career. Truly the worst in UW history. If you don't need this course, run.",disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Not a bird course, although if you have background in programming it would not be difficult at all. Racket is somewhat useless but I learned some concepts that will be useful for other programming languages",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"I took this course online due to the COVID-19 pandemic, so my review is based on a remote, online learning experience. Overall, as someone who is not a CS student and who doesn't have a lot of background experience and knowledge in programming, it's a great introductory course to the language of Racket and the overall concepts that will be useful in later computer science courses. The Racket language itself is not a very ""useful"" language that you may or may not use in later CS courses and even in a job, but the foundation it provides is very valuable and will definitely make you think more mathematically at programming problems. The difficulty of this course starts to increase after the midterm exam, and it does get pretty tough nearing the end. I recommend starting the assignments as early as possible and attend as many office hours if you have any questions. The course staff are very responsive and do offer a good amount of help depending on your questions. Overall, I can't say much about the in-person learning experience, but this course was suited well for online learning and I enjoyed it.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"I found the online for this course to be fantastic personally. The EDx is clearly organized, and the content isn't too difficult, but provides a challenge. Can't speak to the in-person, but would definitely recommend the online. Beware though as this course is time consuming because of the amount of problems and assignments and shouldn't be mixed with a term that is already fairly difficult.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"This was joint taught by a bunch of profs in the Winter term and I think it was one of the most organized online courses I took. The content modules were all written but there was a bunch of integrated questions to check your understanding. The course is really centered on your ability to reach out for help when you need it since everything was asynchronous. I think my favourite part was how office hours were 1-on-1 and there were a lot of times available throughout the day. The only thing is that some of the nicer TAs had really long wait times lol. Overall super enjoyable though, just make sure to base your design recipe on their given examples or you will lose many marks",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"I think this course ran well online, the notes were very organized and easy enough to follow along and there is good support from most of the proffs and tas. The course may be a little fast for a complete cs beginner but the course has 400+ practice questions to help prepare for the weekly assignments",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"It's the worst course ever, online especially. They are least interested to teach. They just provided the content to read by ourselves. I wouldn't suggest anyone to take this course online.",disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Nice course that teaches you how to write simple code. But little annoying that you have to do Design Recipe (especially writing an explanation for codes). There is no loop in DrRacket so being able to understand recursion is important. All course contents are based on a website and you have to read everything and code something on that website. Pity that this course will not show many algorithms or data structures. So far I think those who can just play computer games (i.e. no coding experience but can easily type using the keyboard) can easily get 90+ in this course. If you have ever coded like C, python, java, pascal and so on, easy to get 95+. Idk why the easy rate goes so low but trust me, super easy course if you finish reading the material (okay reading part may be a little boring and CS 135 provide detailed intros which seem not wordy)",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"It was okay. All I can say is, do your work and submit assessments on time. Please don't procrastinate. That's what I did, and I live to regret it. This is because figuring out the solutions to each assessment problem takes time, and procrastinating doesn't help. So, submit early. Submit often. Submit. Submit.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"The end of the course became quite tough but otherwise this was pretty manageable. Excellent professors and ISA's who always take our feedback and concerns into consideration to make the course experience better, including having office hours very late at night and very early in the morning. The online platform is also excellent and fun to use.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"The education quality is significantly impaired with no doubt since we are doing it online. Reviews before COVID was mostly positive. But after COVID-19, a lot of them are negative. I think that reflects something. Assignment were thrown into your face like you just have one class for the whole term. For me, I believe the material we learn and the assignment we need to do is inconsistent in terms of difficulty level. The gap between them is just huge. It often took me eight to twelve hours to finish the assignment. Don't take this if you are doing online.",disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,so difficult for beginners,disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Not an ""EASY"" course at all. Anyone commentating that is probably a Math/Eng student who is already familiar with coding through other courses. Since the midterm/exam is on paper, you have to be able to imagine what your code is going to be able to do without actually testing it like you do in your assignments! Speaking of assignment, they're bloody hard! No joke, it might take you an entire day to problem solve your way through them and that might not even be enough - incredibly frustrating course and not recommended unless you really want to study coding in the future. DR. Racket is not even applicable to most organizations. If you want to learn coding, just pick up something off Amazon or get a pdf through a friend - don't spend money here unless you're actually planning on continuing studies in CS.",disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,Must attend lectures if you're new to programming.,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,Pretty easy course overall! I stopped going to labs about three weeks in and still managed to get the bonus 3%. The assignments were relatively easy (with one or two exceptions).,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,Very easy course if you keep up with the material and do the assignments.,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"It's hard to motivate yourself to do the assignments when each is 2% or something, but it really is important to keep on top of it. They only get harder and arguably the only way to guarantee that you'll do well on the midterm (since you WILL be asked to write mini programs) I personally found the exam to be much harder than the midterm, so you really need to use the midterm as a grade booster.",disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Reviewing as a science major, this course was definitely the one that set me up with programming. Even though it was Dr. Racket, concepts were easy to follow. Be sure to go ask a lot of questions if you do not understand.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,A good start in cs though Racket seems useless in the future study...,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Racket sucks, but the content of the course was easy enough to digest if you never did programming before. Seek help if you need it (early) and don't be afraid to talk to the TAs and profs!",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"A great course, but a little strange if you're used to object oriented programming.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,This course was my favorite in first year. It's really fun. I enjoyed writing codes a lot.,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"It you get stuck on an assignment, take a break and revisit later. Don't let assignments become a time-sink.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"well racket, it is ok",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,i hate racket,disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,Really easy. I had no previous coding experience and I picked it up the concepts super quickly. You have to go to class though. Slides are NOT enough,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"CS 115's content wasn't too hard and is very accessible to first time coders. Be prepared to sometimes have to put in a good chunk of time for the weekly assignments, but the assignments help you out a lot with problem solving skills and becoming more comfortable with coding in general.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"SO easy, didn't pay attention in the lectures, just used course notes.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"If you feel like you have sufficient Computer Science experience, go to CS 135 because it does challenge you more. This is a good introductory course to learn programming. Also, Racket needs some getting used to.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Interesting, gg",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,Take CS 135 or 145 if you have prior programming experience. The majority of this course is exceedingly easy if you already know programming basics. It may only possibly get difficult at the very end. The design recipe and templates are the hardest thing for the majority of the course.,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,Please be very careful about the design recipe (especially tests and examples),liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,SO MUCH FUN OMG,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,Trivial course.,disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,Pretty gentle introduction to programming,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"It's pretty much an introduction to computer science concepts like recursion,BSTs and other abstract data types. It's VERY useful if you have no prior experience with programming.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"do not take this as an elective unless coding/math is easy for you! there are a lot of concepts, impossible to teach yourself from the course notes because of how poorly organized they are. lectures are impossibly boring. My best friend tutors this class and I still justtttt scraped by. language is not super useful in life. many of my friends have taken this course because they heard it was easy and ended up failing.",disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Was a nice way to learn recursion, which is essentially the purpose of this course. They also give a lot of free marks with a 3% lab bonus - DO THEM! That 3% can make a big difference in your mark.",disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,fuck i hate design recipe. your lose marks for nothing!,disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"I have never coded before so i opted to take this rather than CS135. This was really easy for me. I'm glad I took it though becuase it saved time so I can focus more on actual courses for my major (MATH145, PHYS121 etc). Don't expect to be able to code anything after this, especial since you use dr Raket. And the design recipes are a pain, my tip is put 20 test cases for everything.",disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Thanks to Keiko Katsuragawa, the prof who doesn't know how to type properly or speak English at a comprehensive level, I can't stand this easy CS course. Very prof dependent, but generally easy.",,,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,bring netflix.,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Joke course if you're a CS major who is taking it just to get a good CAV (to transfer from regular to co-op, that is).",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,Elementary course in CS. Have fun!,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,Read the coursenote and only go to class for clicker questions,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,Really easy course. Especially if you have coded before. Assignments get a little harder at the end but both the midterm and finals were easy. The only thing I hated about this course was how annoying using Dr. Racket can be at times.,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,People who like computer science will like this course.,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,great intro course for students with no background experience in CS and who don't plan on pursuing CS in the future. It can be prof dependent though.,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,This course tests your logic,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Entry-level cs course, no complicated stuff,easy assignments and midterms.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,Easiest CS course this university has to offer. Basic math and you're good to go.,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,They teach Dr Racket in this course. No one ever uses Dr Racket. This is waste of time but can't skip it either.,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,For someone with no history in writing programs this was a very cool course. Lectures were difficult to pay attention to but I liked the overall skill set I came out of the course with. Also learned that coding can be very frustrating (you can easily get stuck at a road block for significant amounts of time) yet very rewarding (no better feeling than finally getting your program to run),liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,Good course for my first CS course.,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"The course was relatively easy, but the midterm was setup poorly - the focus was not on core concepts but on the exactness of the stepping problems, which I don't think is useful at all.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,I had no programming experience before this class and it still wasn't too hard for the most part. A good elective. Some assignments were tricky but the exams were easy.,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Weekly assignments are not worth much, but are difficult. Weekly labs. 1 midterm, 1 final. Doing the labs will greatly help with the assignments. Asking questions to TAs and prof will help a lot.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,Pretty easy straight forward introductory CS course. People complain but scheme syntax but personally I don't mind prefix notation at all.,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"didn't like it, I was lucky I passed",disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Awesome course, isn't too difficult like CS 135, but actually teaches you some good things. If you're looking for a not too difficult CS course, this is it right here. Make sure to leave a few hours aside to get through the assignments, they can be a bit tricky. Easy exams.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Never taken anything even remotely related and this was super easy. Read the modules, take a couple hours each week to do assignments, easy enough midterm and final.",,,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,Genuinely easy course...,disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,easy course,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"So Easy. Just follow the course notes. It literally tells you how to do everything you need to do. Assignments take some time, so leave a few hours aside for them. Otherwise this class is super easy.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,Since I had prior programming experience this course seemed kind of useless. The language is good for teaching though.,disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"A good introductory course into CS (IMO CS 100 doesn't count because it's about making an ancient website or something like that). A little difficult at first, but once you get into it, and get into the CS way of thinking it's pretty easy. It also gives you a better appreciation for the stuff programmers do, and allows you to understand their work better.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,The programming language (Scheme/Dr.Racket) wasn't a very good program to use but the concepts behind it are the same I guess ...,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Go to the TA's for extra help(they offer free private sessions) and the class is not so bad, even for first time computer science students!",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Interesting and easy, once you get the hang of it.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,Easiest,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,A starting course for CS noobs like me....XD,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"hard at first, will get use to it",,,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"Even though Scheme was a very weird language, it was still an easy course overall, read the modules and you will do well.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"A nice intro to coding, especially for those who probably won't take more in upper years; it's good to know the basics.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,Work only in Scheme.,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
CS 115,Introduction to Computer Science 1,2111,21%,10%,23%,86,"The course was not very hard. The language used was Scheme, which I did not like and found it to be very tedious. It is not as fun as other languages. The course however was good overall.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
MATH 135,Algebra for Honours Mathematics,1186,84%,41%,78%,253,Welcome to Waterloo Math.,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
MATH 135,Algebra for Honours Mathematics,1186,84%,41%,78%,253,"pretty useful for the first year, for math courses generally. basically all of them have proofs of some sort and this course teaches you how to handle proofs really easily, basically formulaically. great prof and course notes too",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
MATH 135,Algebra for Honours Mathematics,1186,84%,41%,78%,253,"Standard introduction to the common proof techniques. Depending on your background in Math, you may find this course very easy or very hard.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Positive
MATH 135,Algebra for Honours Mathematics,1186,84%,41%,78%,253,"The course notes textbook make this class a breeze. Make sure you fully understand theorems, lemmas, etc if you want to do well.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
MATH 135,Algebra for Honours Mathematics,1186,84%,41%,78%,253,"Easy course, understand all the proof and theories and you will get high mark in this course easily",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
MATH 135,Algebra for Honours Mathematics,1186,84%,41%,78%,253,Pretty challenging course for someone coming out of a standard high school curriculum. Bunch of theorems that you need to know when and where to apply. Logical thinking this course taught is useful throughout your undergrad degree,disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative
MATH 135,Algebra for Honours Mathematics,1186,84%,41%,78%,253,"The most disgusting piece of content that I have ever learnt in my life. This course is so useless and unnecessarily complicated. The lectures are often useless because instead of actually explaining how to solve problems, the whole lecture is wasted on proving random theorems that we will never be expected to prove. If you do bad on the midterm, don't give up as the content gets much better next term which means it is still possible for you to recover your mark. As far as I saw, the first part of the course is tough to wrap your head around for most people but the post midterm content is more computational and easier to understand. If you can take the course online then do it since assignments and quizzes are weighted higher and the exams are online as well.",disliked course,0.0,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative
MATH 135,Algebra for Honours Mathematics,1186,84%,41%,78%,253,"This course is an introduction to proofs. I remember it being very difficult to grasp some concepts, and I spent a long time on assignments. But what you learn in this course is quite important for upper years. I took it in Fall 2020, online.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Positive
MATH 135,Algebra for Honours Mathematics,1186,84%,41%,78%,253,I wouldn't say it was an easy course but it is definitely manageable. Midterm was not easy but finals was quite light. Definitely the course I enjoyed the most as I learned a lot.,liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
MATH 135,Algebra for Honours Mathematics,1186,84%,41%,78%,253,"Was my favourite course in 1A, taught you a different way of thinking and approaching problems. It is a difficult course, but if you read the textbook and do lots and lots of practice problems you will be fine.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Positive
MATH 135,Algebra for Honours Mathematics,1186,84%,41%,78%,253,"Read the textbook, it is a godsend",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
MATH 135,Algebra for Honours Mathematics,1186,84%,41%,78%,253,"It's kind of hard for students who are in 1A term because it takes time to get used to this course. The assignments are always much harder than the content, which needs to be improved.",liked course,1.0,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
